source,type,target,sType,tType
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,publisher,https://gleaner.io/xid/genid/cggj3r3k59mc73f1mdh0,Dataset,Organization
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,creator,https://gleaner.io/xid/genid/cggj3r3k59mc73f1mdf0,Dataset,Person
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,creator,https://gleaner.io/xid/genid/cggj3r3k59mc73f1mdfg,Dataset,Person
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,creator,https://gleaner.io/xid/genid/cggj3ujk59mc73f1mufg,Dataset,Organization
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,creator,https://gleaner.io/xid/genid/cggj45jk59mc73f1o3e0,Dataset,Organization
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,creator,https://gleaner.io/xid/genid/cggj44rk59mc73f1nv1g,Dataset,Organization
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,creator,https://gleaner.io/xid/genid/cggj35jk59mc73f1j1b0,Dataset,Organization
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,publisher,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs4g,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs20,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs70,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs6g,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs80,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs7g,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs1g,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs10,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,creator,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs60,Dataset,Person
