s,type
http://orcid.org/0000-0001-5707-6338,https://schema.org/PropertyValue
http://orcid.org/0000-0001-6780-9312,https://schema.org/PropertyValue
http://orcid.org/0000-0001-7490-3147,https://schema.org/PropertyValue
http://orcid.org/0000-0001-8502-341X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-1282-300X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-2652-0990,https://schema.org/PropertyValue
http://orcid.org/0000-0002-2712-501X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-3063-4448,https://schema.org/PropertyValue
http://orcid.org/0000-0002-4771-5295,https://schema.org/PropertyValue
http://orcid.org/0000-0002-5038-4191,https://schema.org/PropertyValue
http://orcid.org/0000-0002-5114-953X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-6038-6588,https://schema.org/PropertyValue
http://orcid.org/0000-0002-6441-0127,https://schema.org/PropertyValue
http://orcid.org/0000-0002-7468-5220,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8007-0898,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8597-5506,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8797-4937,https://schema.org/PropertyValue
http://orcid.org/0000-0003-0907-7453,https://schema.org/PropertyValue
http://orcid.org/0000-0003-0989-2829,https://schema.org/PropertyValue
http://orcid.org/0000-0003-1868-479X,https://schema.org/PropertyValue
http://orcid.org/0000-0003-1966-0415,https://schema.org/PropertyValue
http://orcid.org/0000-0003-2585-6131,https://schema.org/PropertyValue
http://orcid.org/0000-0003-3333-7091,https://schema.org/PropertyValue
http://orcid.org/0000-0003-4678-9759,https://schema.org/PropertyValue
http://portete.invemar.org.co/chm/api/oih/documents#9b16b44d0e0a5cac4f968befb0b5b5eba913f9ef3dfa1501ed728b6ead72a357,https://schema.org/CreativeWork
http://portete.invemar.org.co/chm/api/oih/documents#9b16b44d0e0a5cac4f968befb0b5b5eba913f9ef3dfa1501ed728b6ead72a357,https://schema.org/ItemList
http://portete.invemar.org.co/chm/api/oih/expert#c7d253870ab8de3825e3a9b5ee603e21abd0dfe62763e8e2fc1fc9f4684e8a19,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/expert#c7d253870ab8de3825e3a9b5ee603e21abd0dfe62763e8e2fc1fc9f4684e8a19,https://schema.org/ItemList
http://portete.invemar.org.co/chm/api/oih/expert#c7d253870ab8de3825e3a9b5ee603e21abd0dfe62763e8e2fc1fc9f4684e8a19,https://schema.org/ListItem
http://portete.invemar.org.co/chm/api/oih/findid/expert/000756b6e984d5d5f1a8b04326e2c55a697ae0bc540aade57fc677ab7ed1e245,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/000756b6e984d5d5f1a8b04326e2c55a697ae0bc540aade57fc677ab7ed1e245,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/002c27e87fd9e165a8442f4f96089b234cacd6c10ce193295813cc79b3c308bb,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/002c27e87fd9e165a8442f4f96089b234cacd6c10ce193295813cc79b3c308bb,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/005cfb2313c8dc150ebf34e01679dc02e28955d5436b2aed1ee827ec9395a70b,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/005cfb2313c8dc150ebf34e01679dc02e28955d5436b2aed1ee827ec9395a70b,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/010be8dcd1cf87c04b436863a263fde93b3a9675c278bf2bf81987e046b5a4c5,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/010be8dcd1cf87c04b436863a263fde93b3a9675c278bf2bf81987e046b5a4c5,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/01126be3651531a70fdfb7a679ee9c390229c1f9581720b84d531ab7e83597c8,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/01126be3651531a70fdfb7a679ee9c390229c1f9581720b84d531ab7e83597c8,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/0143f4355b5902a7589503b0ebea01af343a7ffd065219ef2c58dc701c10561f,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/0143f4355b5902a7589503b0ebea01af343a7ffd065219ef2c58dc701c10561f,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/01862421b65c70fd51323eff5048666e2b05af3101ad521e6fb55f63c9f605f7,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/01862421b65c70fd51323eff5048666e2b05af3101ad521e6fb55f63c9f605f7,https://schema.org/Country
