source,target,type
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,https://gleaner.io/xid/genid/cggj35jk59mc73f1j1b0,creator
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs4g,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs20,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs70,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs6g,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs80,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs7g,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs1g,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs10,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://gleaner.io/xid/genid/cggj2mrk59mc73f1gs60,creator
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,https://gleaner.io/xid/genid/cggj3cjk59mc73f1k5u0,creator
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ef4a12ce-c447-4458-b6ca-03e0a0bf1f70,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/ef4a12ce-c447-4458-b6ca-03e0a0bf1f70,https://gleaner.io/xid/genid/cggj39rk59mc73f1jmlg,creator
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,https://gleaner.io/xid/genid/cggj38rk59mc73f1jh5g,creator
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,https://gleaner.io/xid/genid/cggj2urk59mc73f1i0s0,creator
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,https://gleaner.io/xid/genid/cggj49rk59mc73f1ooqg,creator
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,https://ogsl.ca,provider
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,https://catalogue.cioos.ca/organization/c1eca542-1caf-4604-a2d5-708682e08793,publisher
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,https://gleaner.io/xid/genid/cggj37jk59mc73f1jbbg,creator
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,https://gleaner.io/xid/genid/cggj37jk59mc73f1jbd0,creator
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,https://gleaner.io/xid/genid/cggj3grk59mc73f1kqn0,creator
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,https://gleaner.io/xid/genid/cggj3grk59mc73f1kr9g,creator
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,https://gleaner.io/xid/genid/cggj3grk59mc73f1krb0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,https://ogsl.ca,provider
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,https://gleaner.io/xid/genid/cggj3erk59mc73f1khvg,creator
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,https://cioospacific.ca,provider
