name,code,description,url,type
invemardocuments,0,invemardocuments 	 http://portete.invemar.org.co/chm/api/oih/documents?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/documents?format=json,sitegraph
invemarexperts,0,invemarexperts 	 http://portete.invemar.org.co/chm/api/oih/expert?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/expert?format=json,sitegraph
invemarinstitutions,0,invemarinstitutions 	 http://portete.invemar.org.co/chm/api/oih/institution?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/institution?format=json,sitegraph
invemartraining,0,invemartraining 	 http://portete.invemar.org.co/chm/api/oih/training?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/training?format=json,sitegraph
invemarvessels,0,invemarvessels 	 http://portete.invemar.org.co/chm/api/oih/vessel?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/vessel?format=json,sitegraph
marinetraining,0,657 : marinetraining VALID https://www.marinetraining.eu/sitemap.xml  with 1 sitemap URL(s),https://www.marinetraining.eu/sitemap.xml,sitemap
maspawio,0,maspawio 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json,sitegraph
obis,0,4636 : obis VALID https://obis.org/sitemap_datasets.xml  with 1 sitemap URL(s),https://obis.org/sitemap_datasets.xml,sitemap
obps,0,obps 	 https://oih.oceanbestpractices.org/obps.json Sitegraph URL code is 200 ,https://oih.oceanbestpractices.org/obps.json,sitegraph
oceanexperts,1,ERROR oceanexperts : https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml reading sitemap XML,https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml,sitemap
oceanscape,0,115 : oceanscape VALID https://oceanscape.org/organisation-sitemap.xml  with 1 sitemap URL(s),https://oceanscape.org/organisation-sitemap.xml,sitemap
pdh,0,66 : pdh VALID https://pacificdata.org/organization/sitemap.xml  with 1 sitemap URL(s),https://pacificdata.org/organization/sitemap.xml,sitemap
pogo,0,81 : pogo VALID https://pogo-ocean.org/pogo-member-sitemap.xml  with 1 sitemap URL(s),https://pogo-ocean.org/pogo-member-sitemap.xml,sitemap
